id,name,code,email,tel
1,Port Hawkesbury Airport,YPS,fvondruska0@lycos.com,(549) 5656951
2,Empangeni Airport,EMG,pelmar1@printfriendly.com,(491) 6194339
3,Cadete FAP Guillermo Del Castillo Paredes Airport,TPP,jgamble2@reuters.com,(208) 7997517
4,Ulyanovsk Baratayevka Airport,ULV,oscud3@amazon.co.uk,(520) 5459299
5,Marshall Memorial Municipal Airport,MHL,bbau4@yellowpages.com,(471) 7912924
6,Sandspit Airport,YZP,cjoss5@squarespace.com,(192) 8376186
7,Tupelo Regional Airport,TUP,opimerick6@instagram.com,(809) 7655267
8,Bagani Airport,BQI,mshergold7@wisc.edu,(477) 6857263
9,Coposa Airport,CPP,kfeaveryear8@ocn.ne.jp,(700) 3326793
10,Ontario Municipal Airport,ONO,athursby9@plala.or.jp,(787) 8808997
11,Capitán FAP Renán Elías Olivera International Airport,PIO,jcoweuppea@mlb.com,(984) 2969708
12,Lissadell Airport,LLL,dlandsboroughb@shop-pro.jp,(263) 4108403
13,Nesson Airport,HLU,wtunderc@infoseek.co.jp,(908) 5281313
14,Scholes International At Galveston Airport,GLS,ecooksleyd@wsj.com,(260) 4797046
15,Canarana Airport,CQA,nduggarye@tripod.com,(946) 7860770
